CITY|SECTOR_ID|SECTOR_NAME|ENODEBID|ENODEB_NAME|EARFCN|PCI|PSS|SSS|TAC|VENDOR|LONGITUDE|LATITUDE|STYLE|AZIMUTH|HEIGHT|ELECTTILT|MECHTILT|TOTLETILT
sanxia|253894-2|B马东马岭-HLHF-3|253894|B马东马岭-HLHF|38400|170|||14419|华为|112.843|33.7483|宏站|240.0|18.0|6.0|2.0|8.0
sanxia|253895-0|B马福聚德美化塔-HLHF-1|253895|B马福聚德美化塔-HLHF|38400|149|||14419|华为|112.856|33.7478|宏站|40.0|28.0|6.0|2.0|8.0
sanxia|253895-1|B马福聚德美化塔-HLHF-2|253895|B马福聚德美化塔-HLHF|38400|147|||14419|华为|112.856|33.7478|宏站|140.0|28.0|6.0|2.0|8.0
sanxia|253895-2|B马福聚德美化塔-HLHF-3|253895|B马福聚德美化塔-HLHF|38400|148|||14419|华为|112.856|33.7478|宏站|240.0|28.0|6.0|2.0|8.0
sanxia|253896-0|B马高速入口-HLHF-1|253896|B马高速入口-HLHF|38400|305|||14467|华为|112.879|33.7693|宏站|0.0|43.0|6.0|6.0|12.0
sanxia|253896-1|B马高速入口-HLHF-2|253896|B马高速入口-HLHF|38400|303|||14467|华为|112.879|33.7693|宏站|120.0|43.0|6.0|9.0|15.0
sanxia|253896-2|B马高速入口-HLHF-3|253896|B马高速入口-HLHF|38400|304|||14467|华为|112.879|33.7693|宏站|240.0|43.0|6.0|9.0|15.0
sanxia|253898-0|B马郭庄村委大队部-HLHF-1|253898|B马郭庄村委大队部-HLHF|38400|369|||14419|华为|112.855|33.7625|宏站|80.0|15.0|6.0|6.0|12.0
sanxia|253898-1|B马郭庄村委大队部-HLHF-2|253898|B马郭庄村委大队部-HLHF|38400|370|||14419|华为|112.855|33.7625|宏站|140.0|30.0|6.0|3.0|9.0
sanxia|253898-2|B马郭庄村委大队部-HLHF-3|253898|B马郭庄村委大队部-HLHF|38400|371|||14419|华为|112.855|33.7625|宏站|240.0|15.0|6.0|3.0|9.0
sanxia|253899-0|B马洪庆公园-HLHF-1|253899|B马洪庆公园-HLHF|38400|444|||14419|华为|112.872|33.7508|宏站|40.0|28.0|6.0|3.0|9.0
sanxia|253899-1|B马洪庆公园-HLHF-2|253899|B马洪庆公园-HLHF|38400|445|||14419|华为|112.872|33.7508|宏站|135.0|28.0|6.0|6.0|12.0
sanxia|253899-2|B马洪庆公园-HLHF-3|253899|B马洪庆公园-HLHF|38400|446|||14419|华为|112.872|33.7508|宏站|250.0|28.0|6.0|5.0|11.0
sanxia|253900-0|B马鸿泰量贩-HLHF-1|253900|B马鸿泰量贩-HLHF|38400|118|||14419|华为|112.874|33.7439|宏站|320.0|30.0|6.0|8.0|14.0
sanxia|253900-1|B马鸿泰量贩-HLHF-2|253900|B马鸿泰量贩-HLHF|38400|117|||14419|华为|112.874|33.7439|宏站|100.0|21.0|6.0|4.0|10.0
sanxia|253900-2|B马鸿泰量贩-HLHF-3|253900|B马鸿泰量贩-HLHF|38400|119|||14419|华为|112.874|33.7439|宏站|190.0|21.0|6.0|9.0|15.0
sanxia|253901-0|B马华山路-HLHF-1|253901|B马华山路-HLHF|38400|381|||14419|华为|112.838|33.7643|宏站|20.0|28.0|6.0|2.0|8.0
sanxia|253901-1|B马华山路-HLHF-2|253901|B马华山路-HLHF|38400|383|||14419|华为|112.838|33.7643|宏站|140.0|28.0|6.0|2.0|8.0
sanxia|253901-2|B马华山路-HLHF-3|253901|B马华山路-HLHF|38400|382|||14419|华为|112.838|33.7643|宏站|240.0|28.0|6.0|2.0|8.0
sanxia|253902-0|B马建材市场-HLHF-1|253902|B马建材市场-HLHF|38400|287|||14419|华为|112.859|33.7496|宏站|90.0|18.0|6.0|3.0|9.0
sanxia|253902-1|B马建材市场-HLHF-2|253902|B马建材市场-HLHF|38400|285|||14419|华为|112.859|33.7496|宏站|190.0|18.0|6.0|3.0|9.0
sanxia|253902-2|B马建材市场-HLHF-3|253902|B马建材市场-HLHF|38400|286|||14419|华为|112.859|33.7496|宏站|270.0|18.0|6.0|6.0|12.0
sanxia|253903-0|B马交警队-HLHF-1|253903|B马交警队-HLHF|38400|166|||14419|华为|112.829|33.751|宏站|0.0|25.0|6.0|6.0|12.0
sanxia|253903-1|B马交警队-HLHF-2|253903|B马交警队-HLHF|38400|165|||14419|华为|112.829|33.751|宏站|130.0|25.0|6.0|6.0|12.0
sanxia|253903-2|B马交警队-HLHF-3|253903|B马交警队-HLHF|38400|167|||14419|华为|112.829|33.751|宏站|260.0|25.0|6.0|6.0|12.0
sanxia|253904-0|B马锦江国际美化塔-HLHF-1|253904|B马锦江国际美化塔-HLHF|38400|126|||14419|华为|112.847|33.7601|宏站|0.0|33.0|6.0|1.0|7.0
sanxia|253904-1|B马锦江国际美化塔-HLHF-2|253904|B马锦江国际美化塔-HLHF|38400|127|||14419|华为|112.847|33.7601|宏站|90.0|33.0|6.0|3.0|9.0
sanxia|253904-2|B马锦江国际美化塔-HLHF-3|253904|B马锦江国际美化塔-HLHF|38400|128|||14419|华为|112.847|33.7601|宏站|250.0|33.0|6.0|6.0|12.0
sanxia|253905-0|B马凯瑞彩钢厂-HLHF-1|253905|B马凯瑞彩钢厂-HLHF|38400|324|||14419|华为|112.834|33.7588|宏站|60.0|43.0|6.0|6.0|12.0
sanxia|253905-1|B马凯瑞彩钢厂-HLHF-2|253905|B马凯瑞彩钢厂-HLHF|38400|325|||14419|华为|112.834|33.7588|宏站|160.0|43.0|6.0|3.0|9.0
sanxia|253905-2|B马凯瑞彩钢厂-HLHF-3|253905|B马凯瑞彩钢厂-HLHF|38400|326|||14419|华为|112.834|33.7588|宏站|310.0|43.0|6.0|3.0|9.0
sanxia|253906-0|B马狂口-HLHF-1|253906|B马狂口-HLHF|38400|368|||14419|华为|112.85|33.7485|宏站|80.0|24.0|6.0|7.0|13.0
sanxia|253906-1|B马狂口-HLHF-2|253906|B马狂口-HLHF|38400|366|||14419|华为|112.85|33.7485|宏站|200.0|24.0|6.0|6.0|12.0
sanxia|253906-2|B马狂口-HLHF-3|253906|B马狂口-HLHF|38400|367|||14419|华为|112.85|33.7485|宏站|350.0|24.0|6.0|3.0|9.0
sanxia|253907-0|B马老局-HLHF-1|253907|B马老局-HLHF|38400|471|||14419|华为|112.868|33.7458|宏站|0.0|38.0|6.0|3.0|9.0
sanxia|253907-1|B马老局-HLHF-2|253907|B马老局-HLHF|38400|472|||14419|华为|112.868|33.7458|宏站|120.0|38.0|6.0|3.0|9.0
sanxia|253907-2|B马老局-HLHF-3|253907|B马老局-HLHF|38400|473|||14419|华为|112.868|33.7458|宏站|240.0|38.0|6.0|3.0|9.0
sanxia|253907-3|B马老局-HLHD-4|253907|B马老局-HLHF|37900|279|||14419|华为|112.868|33.7458|宏站|0.0|38.0|6.0|3.0|9.0
sanxia|253907-4|B马老局-HLHD-5|253907|B马老局-HLHF|37900|280|||14419|华为|112.868|33.7458|宏站|120.0|38.0|6.0|3.0|9.0
sanxia|253907-5|B马老局-HLHD-6|253907|B马老局-HLHF|37900|281|||14419|华为|112.868|33.7458|宏站|240.0|38.0|6.0|3.0|9.0
sanxia|253908-0|B马连银三区-HLHF-1|253908|B马连银三区-HLHF|38400|321|||14467|华为|112.876|33.7594|宏站|120.0|28.0|6.0|3.0|9.0
sanxia|253908-1|B马连银三区-HLHF-2|253908|B马连银三区-HLHF|38400|322|||14467|华为|112.876|33.7594|宏站|230.0|28.0|6.0|3.0|9.0
sanxia|253908-2|B马连银三区-HLHF-3|253908|B马连银三区-HLHF|38400|323|||14467|华为|112.876|33.7594|宏站|330.0|28.0|6.0|3.0|9.0
sanxia|253909-0|B马连银小区-HLHF-1|253909|B马连银小区-HLHF|38400|89|||14419|华为|112.873|33.7556|宏站|40.0|33.0|6.0|3.0|9.0
sanxia|253909-1|B马连银小区-HLHF-2|253909|B马连银小区-HLHF|38400|88|||14419|华为|112.873|33.7556|宏站|90.0|33.0|6.0|3.0|9.0
sanxia|253909-2|B马连银小区-HLHF-3|253909|B马连银小区-HLHF|38400|87|||14419|华为|112.873|33.7556|宏站|240.0|33.0|6.0|3.0|9.0
sanxia|253910-0|B马梁沟-HLHF-1|253910|B马梁沟-HLHF|38400|272|||14467|华为|112.878|33.7632|宏站|0.0|33.0|6.0|3.0|9.0
sanxia|253910-1|B马梁沟-HLHF-2|253910|B马梁沟-HLHF|38400|270|||14467|华为|112.878|33.7632|宏站|120.0|33.0|6.0|3.0|9.0
sanxia|253910-2|B马梁沟-HLHF-3|253910|B马梁沟-HLHF|38400|271|||14467|华为|112.878|33.7632|宏站|210.0|33.0|6.0|3.0|9.0
sanxia|253911-0|B马梁沟社区-HLHF-1|253911|B马梁沟社区-HLHF|38400|410|||14467|华为|112.872|33.7667|宏站|70.0|33.0|6.0|3.0|9.0
sanxia|253911-1|B马梁沟社区-HLHF-2|253911|B马梁沟社区-HLHF|38400|408|||14467|华为|112.872|33.7667|宏站|160.0|33.0|6.0|3.0|9.0
sanxia|253911-2|B马梁沟社区-HLHF-3|253911|B马梁沟社区-HLHF|38400|409|||14467|华为|112.872|33.7667|宏站|300.0|33.0|6.0|9.0|15.0
sanxia|253912-0|B马龙山街-HLHF-1|253912|B马龙山街-HLHF|38400|254|||14419|华为|112.862|33.7494|宏站|50.0|23.0|6.0|3.0|9.0
sanxia|253912-1|B马龙山街-HLHF-2|253912|B马龙山街-HLHF|38400|252|||14419|华为|112.862|33.7494|宏站|175.0|23.0|6.0|3.0|9.0
sanxia|253912-2|B马龙山街-HLHF-3|253912|B马龙山街-HLHF|38400|253|||14419|华为|112.862|33.7494|宏站|270.0|23.0|6.0|3.0|9.0
sanxia|253913-0|B马裴村-HLHF-1|253913|B马裴村-HLHF|38400|474|||14419|华为|112.865|33.743|宏站|340.0|18.0|6.0|3.0|9.0
